movement,phase,aspect_id,aspect_name,features_dir,csv_file,feature_column,source,rationale
2a_2,f1,2,Står med fötterna rakt under höftlederna,features_down,down_utgångsposition.csv,utg_stance_to_hip_ratio,SAT,SAT hip-normalised stance ratio confirms feet are positioned directly under the hip joints
2a_2,f1,4,Knäskålarna riktade mot mellersta tån,features_down,down_utgångsposition.csv,utg_knee_asym,SAT,SAT knee asymmetry measures left-right knee alignment. neutral alignment points kneecaps toward middle toes
2a_2,f1,4,Knäskålarna riktade mot mellersta tån,features_down,down_utgångsposition.csv,utg_delta_knee_angle,SAT,SAT left-right knee angle difference captures bilateral kneecap direction asymmetry
2a_2,f1,5,Knäna neutralt semiflekterade,features_down,down_utgångsposition.csv,utg_mean_left_knee_angle,SAT,SAT left knee flexion angle confirms the required semi-flexed starting position
2a_2,f1,5,Knäna neutralt semiflekterade,features_down,down_utgångsposition.csv,utg_mean_right_knee_angle,SAT,SAT right knee flexion angle confirms the required semi-flexed starting position
2a_2,f1,5,Knäna neutralt semiflekterade,features_down,down_utgångsposition.csv,utg_mean_knee_forward,SAT,SAT mean knee forward position captures the anterior tibial inclination in the semi-flexed stance
2a_2,f1,6,Bäckenet neutralt framåttippat i sagittalplan,features_down,down_utgångsposition.csv,utg_mean_trunk_angle,SAT,SAT trunk sagittal angle captures pelvis orientation in the starting posture
2a_2,f1,6,Bäckenet neutralt framåttippat i sagittalplan,features_down,down_molab_utgångsposition.csv,utg_mean_pelvis_tilt,MoLab,MoLab pelvis tilt is added because it measures slight anterior pelvic tilt more directly than SAT
2a_2,f1,9,Thorakalrygg i neutral kyfos i sagittalplan,features_down,down_utgångsposition.csv,utg_mean_trunk_angle,SAT,SAT overall trunk sagittal angle captures thoracic spinal curvature in the sagittal plane
2a_2,f1,9,Thorakalrygg i neutral kyfos i sagittalplan,features_down,down_utgångsposition.csv,utg_mean_head_trunk_angle,SAT,SAT head-trunk angle reflects the upper thoracic and cervical contribution to kyphosis
2a_2,f1,11,Huvudet symmetrisk position rakt ovanför bålen,features_down,down_utgångsposition.csv,utg_mean_head_trunk_angle,SAT,SAT head-trunk angle measures whether the head is symmetrically positioned directly above the trunk
2a_2,f1,12,Cervikalrygg i neutral lordos i sagittalplan,features_down,down_utgångsposition.csv,utg_mean_head_trunk_angle,SAT,SAT head-trunk angle serves as an indirect measure of cervical lordosis via head position relative to trunk
2a_2,f1,13,Axlarna symmetriska och i samma nivå,features_down,down_utgångsposition.csv,utg_shoulder_asym,SAT,SAT shoulder asymmetry directly quantifies whether shoulders are level and symmetric
2a_2,f1,14,Överarmarna längs med bålen,features_down,down_bakåtgående.csv,bak_rms_wrist_acceleration,SAT,SAT wrist acceleration during descent is low when upper arms remain neutral along the body without active rotation
2a_2,f1,15,Bålen placerad rakt över bäckenet i sagittalplan,features_down,down_utgångsposition.csv,utg_mean_trunk_angle,SAT,SAT trunk sagittal angle confirms trunk is positioned upright and aligned over pelvis
2a_2,f1,15,Bålen placerad rakt över bäckenet i sagittalplan,features_down,down_molab_utgångsposition.csv,utg_mean_pelvis_tilt,MoLab,MoLab pelvis tilt confirms neutral pelvis position under the trunk in sagittal plane
2a_2,f3,2,Bålen fortsätter fällas framåt och höftböjningen fortskrider,features_down,down_nedåtgående.csv,ned_ROM_trunk,SAT,SAT trunk ROM confirms the total forward lean range during the continued descent
2a_2,f3,2,Bålen fortsätter fällas framåt och höftböjningen fortskrider,features_down,down_nedåtgående.csv,ned_ROM_hip,SAT,SAT hip flexion ROM directly quantifies continued hip bending during the descent
2a_2,f3,3,Knäna fortsätter böjas och rör sig framåt initialt.,features_down,down_nedåtgående.csv,ned_ROM_knee,SAT,SAT knee flexion ROM measures how much the knees continue to bend and advance forward
2a_2,f3,3,Knäna fortsätter böjas och rör sig framåt initialt.,features_down,down_nedåtgående.csv,ned_mean_knee_forward,SAT,SAT mean knee forward position quantifies the horizontal knee displacement over the toes
2a_2,f3,4,Knäna bibehålls riktade mot mellersta tån,features_down,down_nedåtgående.csv,ned_knee_asym,SAT,SAT knee asymmetry measures whether both knees maintain symmetric forward direction in fas 1
2a_2,f3,4,Knäna bibehålls riktade mot mellersta tån,features_down,down_molab_nedåtgående.csv,ned_knee_angle_diff,MoLab,MoLab left-right knee angle difference directly quantifies kneecap alignment toward the middle toe
2a_2,f3,4,Knäna bibehålls riktade mot mellersta tån,features_down,down_molab_nedåtgående.csv,ned_pelvis_lateral,MoLab,MoLab lateral pelvis tilt in fas 1 reflects lower-limb frontal-plane alignment
2a_2,f3,5,Kontrollerad sänkning av kroppen,features_down,down_nedåtgående.csv,ned_peak_pelvis_velocity_y,SAT,SAT peak vertical pelvis velocity captures the maximum downward speed. high values indicate uncontrolled drop
2a_2,f3,5,Kontrollerad sänkning av kroppen,features_down,down_nedåtgående.csv,ned_rms_pelvis_acc_y,SAT,SAT RMS vertical pelvis acceleration quantifies smoothness of descent. high values indicate jerkiness
2a_2,f3,7,Förflyttar bäckenet bakåt/nedåt kontrollerat och symmetriskt,features_down,down_bakåtgående.csv,bak_pelvis_backward_displacement,SAT,SAT posterior pelvis displacement quantifies the controlled backward-downward pelvis trajectory
2a_2,f3,7,Förflyttar bäckenet bakåt/nedåt kontrollerat och symmetriskt,features_down,down_bakåtgående.csv,bak_pelvis_descent,SAT,SAT vertical pelvis descent confirms controlled lowering toward the seat
2a_2,f3,7,Förflyttar bäckenet bakåt/nedåt kontrollerat och symmetriskt,features_down,down_molab_bakåtgående.csv,bak_rms_pelvis_acc,MoLab,MoLab pelvis acceleration is added as a compact 3D control measure for the final backward-downward transfer
2a_2,f3,8,Knäna bibehålls riktade mot mellersta tån,features_down,down_bakåtgående.csv,bak_knee_asym,SAT,SAT knee asymmetry measures whether knees remain directed toward the middle toe during final descent
2a_2,f3,9,Händer/armar följer med i rörelsen utan aktivt mothåll mot armstöd/sits,features_down,down_bakåtgående.csv,bak_rms_wrist_acceleration,SAT,SAT wrist acceleration measures whether hands and arms follow passively without active midline crossing
